x,y,label
-24.855577,15.061716,Normal
-23.154953,-19.585543,Normal
13.198523,14.993501,Normal
0.6702927,15.385135,Normal
26.496119,33.20308,Normal
-35.11032,-5.0292525,Normal
-30.304123,24.947756,Normal
-1.6216,-6.108279,Normal
37.821938,-9.352816,Normal
36.33742,-26.038538,Normal
0.38468543,-9.553628,Normal
43.219555,-15.99781,Normal
-17.178768,30.60686,Normal
-15.995904,18.506693,Normal
-7.5355787,-16.062876,Normal
7.079052,2.7063053,Normal
-15.94281,37.809742,Normal
33.54597,24.858433,Normal
-46.500183,-7.792805,Normal
-31.559113,13.502628,Normal
46.392162,-1.5104254,Normal
16.910292,-12.950788,Normal
49.705597,12.472411,Normal
-45.908684,12.859408,Normal
-4.3549876,14.838951,Normal
28.212961,-32.589775,Normal
31.870678,-10.7791,Normal
-29.260698,-17.69392,Normal
-7.136287,-16.069857,Normal
35.488564,-25.290775,Normal
-30.254457,27.791475,Normal
-31.962013,-27.002068,Normal
-6.1318555,18.652645,Normal
11.663857,-6.249678,Normal
-40.799,-2.3947268,Normal
0.47122625,11.456268,Normal
0.75458056,23.500336,Normal
-33.112797,24.830095,Normal
47.31856,-1.7997768,Normal
2.6841235,-8.1321745,Normal
-47.553967,5.38035,Normal
-22.935017,1.1966765,Normal
-7.0125318,28.130453,Normal
17.072588,19.999222,Anomaly
12.65782,0.7225595,Normal
51.48103,9.604509,Normal
-1.438738,3.358615,Normal
5.706051,22.632956,Normal
36.86105,9.914023,Normal
-8.39467,14.278661,Normal
32.718872,-27.763266,Normal
22.887611,9.096427,Normal
1.94556,25.784119,Normal
-27.769142,-21.549217,Normal
31.54085,-32.076767,Normal
-19.052162,-0.96179104,Anomaly
-40.96872,-26.882557,Normal
-15.237235,-28.506735,Normal
-8.854654,-9.501528,Normal
-45.527588,3.4320886,Normal
30.438068,-3.754909,Normal
22.345852,-26.803997,Normal
-42.11567,-11.741768,Normal
-40.442524,8.540036,Normal
12.063954,0.5531978,Normal
4.169532,-0.0015602977,Normal
-4.253439,-33.216198,Normal
-23.11966,1.9384745,Normal
-45.706448,-0.29534003,Normal
22.723133,31.080503,Normal
-29.864855,-15.875187,Normal
2.5570357,20.190027,Normal
-47.12846,-6.375776,Normal
32.62337,-30.919088,Normal
17.356451,18.332752,Normal
6.378898,22.383383,Normal
-37.387077,17.343788,Normal
27.998907,-13.014102,Normal
2.274265,27.883987,Normal
-32.14648,-6.5608525,Normal
1.404195,-22.266682,Normal
-42.40777,5.71922,Normal
-30.491388,11.426947,Normal
42.548004,-17.126205,Normal
-27.759937,13.721606,Normal
47.01811,-4.394895,Normal
11.654072,-12.137884,Normal
-27.101913,28.134224,Normal
-8.935521,21.128166,Normal
-16.926256,-30.877157,Normal
0.99012405,-26.339388,Normal
-3.077678,-5.012218,Normal
-29.976383,7.7310696,Normal
15.365202,34.10299,Normal
-25.713718,11.515039,Normal
15.985684,35.316452,Normal
-24.849558,-12.908749,Normal
-10.909461,-9.698347,Normal
-26.766214,3.5888603,Normal
1.35461,29.739918,Normal
1.933569,11.487578,Normal
18.84115,25.484894,Normal
20.119642,-16.134586,Normal
7.6404862,29.040016,Normal
3.9828296,25.177025,Normal
46.103046,-12.41994,Normal
-4.2765408,17.834864,Normal
23.371302,15.712393,Normal
-6.9052024,16.90624,Normal
7.711155,-14.624256,Normal
25.260353,-28.162409,Normal
-23.472574,-21.893131,Normal
6.891006,-6.0813265,Normal
-26.40958,5.225605,Normal
41.21948,7.4293346,Normal
2.3857918,21.63717,Normal
-42.92315,-10.998102,Normal
1.0143784,8.940173,Normal
-2.4496295,38.491566,Normal
-7.539957,6.9960284,Normal
7.229808,-36.286903,Normal
-29.389053,-28.874449,Normal
28.763382,-26.568323,Normal
28.898521,27.373083,Normal
7.0456038,28.894497,Normal
-40.563152,3.6214488,Normal
-5.81091,31.302794,Normal
40.71916,12.249512,Normal
9.349562,-8.231043,Normal
0.139887,15.707482,Normal
30.727585,21.572668,Normal
39.69156,11.249775,Normal
40.182545,19.45797,Normal
23.672775,-26.66776,Normal
-4.766467,33.622837,Normal
33.938087,11.015541,Normal
33.911728,-17.930206,Normal
-30.710653,-14.839299,Normal
7.8661914,33.466705,Normal
32.419468,-29.794275,Normal
-4.8659425,8.0540905,Normal
-37.19704,-32.364826,Normal
-8.406457,7.6784816,Normal
-4.508884,19.522564,Normal
-0.89971536,20.747694,Normal
37.105156,-24.779715,Normal
9.580142,6.216914,Normal
-14.813155,-7.69268,Normal
-9.5364685,20.177547,Normal
-40.983837,-33.864666,Normal
25.164944,-6.0735054,Normal
-2.6400893,-4.5398054,Normal
24.937838,28.302265,Normal
7.810141,32.170918,Normal
0.6671515,-5.9014125,Normal
-30.043436,-8.966985,Normal
0.5584121,-12.040803,Normal
33.675888,0.06218276,Normal
22.124664,-28.434404,Normal
-35.6439,11.983152,Normal
-41.231243,-15.473348,Normal
37.50168,22.146599,Normal
-9.12541,6.2577815,Normal
37.10301,4.7445617,Normal
-27.363626,16.761614,Normal
15.130584,35.132618,Normal
-21.236038,27.704088,Normal
-38.329594,-29.221407,Normal
3.7100468,5.04493,Normal
46.246113,11.802754,Normal
-30.287468,-25.061338,Normal
-29.51072,-28.320002,Normal
-11.730518,-8.089124,Normal
12.779397,19.993145,Anomaly
-42.723965,-27.057287,Anomaly
24.35811,22.230032,Normal
-40.94707,-26.93433,Normal
-40.02841,-34.75774,Normal
32.616253,18.638542,Normal
36.052723,-1.6021944,Normal
-27.305998,16.981749,Normal
-36.114677,-9.186405,Normal
35.494816,22.54293,Normal
20.86892,30.699944,Normal
6.171398,6.4877777,Normal
-8.77712,-9.545045,Normal
9.645285,-6.9513893,Normal
3.2110102,-30.488161,Normal
-27.390295,26.368681,Normal
20.303726,5.6722956,Normal
12.9730425,-34.849373,Normal
-10.842947,-17.17287,Normal
30.432627,20.632837,Anomaly
-2.6866388,-10.2670355,Normal
30.314285,-4.9656825,Normal
-34.275795,-24.993534,Normal
-35.354214,7.0715775,Normal
-16.905668,-8.496606,Normal
-37.49552,7.2959285,Normal
5.1640716,18.54781,Normal
-26.619577,27.57698,Normal
21.841038,-25.010942,Normal
17.610188,7.1264515,Normal
7.1372285,19.446632,Normal
4.885834,-10.276648,Normal
-22.017958,-18.061111,Normal
13.587299,2.7914178,Normal
-8.12687,-9.0528555,Normal
-7.881393,46.075,Normal
42.37927,6.1842384,Normal
-44.586857,4.032246,Normal
-6.572101,32.897472,Normal
30.085327,12.311726,Anomaly
-41.850285,-10.828606,Normal
7.401394,-29.892193,Normal
-9.672947,33.99136,Normal
-1.8313794,44.556522,Normal
8.886513,15.309596,Normal
7.527936,30.032484,Normal
25.779858,-6.842454,Normal
1.6541908,-12.269983,Normal
-2.0162468,-12.790365,Normal
12.419784,23.160828,Normal
36.05954,12.451155,Normal
27.158619,-16.59706,Normal
38.942566,9.954671,Normal
11.464792,-36.963913,Normal
31.480858,0.79174614,Normal
-35.363182,-28.48461,Normal
51.1963,6.7331033,Normal
27.346952,19.815123,Normal
-4.050002,2.0158377,Normal
